identifier,utcOffset,abbreviation
Atlantic/St_Helena,+00:00,GMT
Atlantic/Stanley,−03:00,-3
Australia/ACT,+10:00,AEST
Australia/Adelaide,+09:30,ACST
Australia/Brisbane,+10:00,AEST
Australia/Broken_Hill,+09:30,ACST
Australia/Canberra,+10:00,AEST
Australia/Currie,+10:00,AEST
Australia/Darwin,+09:30,ACST
Australia/Eucla,+08:45,+0845
Australia/Hobart,+10:00,AEST
Australia/LHI,+10:30,+1030
Australia/Lindeman,+10:00,AEST
Australia/Lord_Howe,+10:30,+1030
Australia/Melbourne,+10:00,AEST
Australia/North,+09:30,ACST
Australia/NSW,+10:00,AEST
Australia/Perth,+08:00,AWST
Australia/Queensland,+10:00,AEST
Australia/South,+09:30,ACST
Australia/Sydney,+10:00,AEST
Australia/Tasmania,+10:00,AEST
Australia/Victoria,+10:00,AEST
Australia/West,+08:00,AWST
Australia/Yancowinna,+09:30,ACST
Brazil/Acre,−05:00,-5
Brazil/DeNoronha,−02:00,-2
Brazil/East,−03:00,-3
Brazil/West,−04:00,-4
Canada/Atlantic,−04:00,AST
Canada/Central,−06:00,CST
Canada/Eastern,−05:00,EST
Canada/Mountain,−07:00,MST
Canada/Newfoundland,−03:30,NST
Canada/Pacific,−08:00,PST
Canada/Saskatchewan,−06:00,CST
Canada/Yukon,−07:00,MST
CET,+01:00,CET
Chile/Continental,−04:00,-4
Chile/EasterIsland,−06:00,-6
CST6CDT,−06:00,CST
Cuba,−05:00,CST
EET,+02:00,EET
Egypt,+02:00,EET
Eire,+00:00,GMT
EST,−05:00,EST
EST5EDT,−05:00,EST
Etc/GMT,+00:00,GMT
Etc/GMT+0,+00:00,GMT
Etc/GMT+1,−01:00,-1
Etc/GMT+10,−10:00,-10
Etc/GMT+11,−11:00,-11
Etc/GMT+12,−12:00,-12
Etc/GMT+2,−02:00,-2
Etc/GMT+3,−03:00,-3
Etc/GMT+4,−04:00,-4
Etc/GMT+5,−05:00,-5
Etc/GMT+6,−06:00,-6
Etc/GMT+7,−07:00,-7
Etc/GMT+8,−08:00,-8
Etc/GMT+9,−09:00,-9
Etc/GMT-0,+00:00,GMT
Etc/GMT-1,+01:00,+01
Etc/GMT-10,+10:00,+10
Etc/GMT-11,+11:00,+11
Etc/GMT-12,+12:00,+12
Etc/GMT-13,+13:00,+13
Etc/GMT-14,+14:00,+14
Etc/GMT-2,+02:00,+02
Etc/GMT-3,+03:00,+03
Etc/GMT-4,+04:00,+04
Etc/GMT-5,+05:00,+05
Etc/GMT-6,+06:00,+06
Etc/GMT-7,+07:00,+07
Etc/GMT-8,+08:00,+08
Etc/GMT-9,+09:00,+09
Etc/GMT0,+00:00,GMT
Etc/Greenwich,+00:00,GMT
Etc/UCT,+00:00,UTC
Etc/Universal,+00:00,UTC
Etc/UTC,+00:00,UTC
Etc/Zulu,+00:00,UTC
Europe/Amsterdam,+01:00,CET
Europe/Andorra,+01:00,CET
Europe/Astrakhan,+04:00,+04
Europe/Athens,+02:00,EET
Europe/Belfast,+00:00,GMT
Europe/Belgrade,+01:00,CET
Europe/Berlin,+01:00,CET
Europe/Bratislava,+01:00,CET
Europe/Brussels,+01:00,CET
Europe/Bucharest,+02:00,EET
Europe/Budapest,+01:00,CET
Europe/Busingen,+01:00,CET
Europe/Chisinau,+02:00,EET
Europe/Copenhagen,+01:00,CET
Europe/Dublin,+00:00,GMT
Europe/Gibraltar,+01:00,CET
Europe/Guernsey,+00:00,GMT
Europe/Helsinki,+02:00,EET
Europe/Isle_of_Man,+00:00,GMT
Europe/Istanbul,+03:00,+03
Europe/Jersey,+00:00,GMT
Europe/Kaliningrad,+02:00,EET
Europe/Kiev,+02:00,EET
Europe/Kirov,+03:00,MSK
Europe/Kyiv,+02:00,EET
Europe/Lisbon,+00:00,WET
Europe/Ljubljana,+01:00,CET
Europe/London,+00:00,GMT
Europe/Luxembourg,+01:00,CET
Europe/Madrid,+01:00,CET
Europe/Malta,+01:00,CET
Europe/Mariehamn,+02:00,EET
Europe/Minsk,+03:00,+03
Europe/Monaco,+01:00,CET
Europe/Moscow,+03:00,MSK
Europe/Nicosia,+02:00,EET
Europe/Oslo,+01:00,CET
Europe/Paris,+01:00,CET
Europe/Podgorica,+01:00,CET
Europe/Prague,+01:00,CET
Europe/Riga,+02:00,EET
Europe/Rome,+01:00,CET
Europe/Samara,+04:00,+04
Europe/San_Marino,+01:00,CET
Europe/Sarajevo,+01:00,CET
Europe/Saratov,+04:00,+04
Europe/Simferopol,+03:00,MSK
Europe/Skopje,+01:00,CET
Europe/Sofia,+02:00,EET
Europe/Stockholm,+01:00,CET
Europe/Tallinn,+02:00,EET
Europe/Tirane,+01:00,CET
Europe/Tiraspol,+02:00,EET
Europe/Ulyanovsk,+04:00,+04
Europe/Uzhgorod,+02:00,EET
Europe/Vaduz,+01:00,CET
Europe/Vatican,+01:00,CET
Europe/Vienna,+01:00,CET
Europe/Vilnius,+02:00,EET
Europe/Volgograd,+03:00,MSK
Europe/Warsaw,+01:00,CET
Europe/Zagreb,+01:00,CET
Europe/Zaporozhye,+02:00,EET
Europe/Zurich,+01:00,CET
Factory,+00:00,0
GB,+00:00,GMT
GB-Eire,+00:00,GMT
GMT,+00:00,GMT
GMT+0,+00:00,GMT
GMT-0,+00:00,GMT
GMT0,+00:00,GMT
Greenwich,+00:00,GMT
Hongkong,+08:00,HKT
HST,−10:00,HST
Iceland,+00:00,GMT
Indian/Antananarivo,+03:00,EAT
Indian/Chagos,+06:00,+06
Indian/Christmas,+07:00,+07
Indian/Cocos,+06:30,+0630
Indian/Comoro,+03:00,EAT
Indian/Kerguelen,+05:00,+05
Indian/Mahe,+04:00,+04
Indian/Maldives,+05:00,+05
Indian/Mauritius,+04:00,+04
Indian/Mayotte,+03:00,EAT
Indian/Reunion,+04:00,+04
Iran,+03:30,+0330
Israel,+02:00,IST
Jamaica,−05:00,EST
Japan,+09:00,JST
Kwajalein,+12:00,+12
Libya,+02:00,EET
MET,+01:00,CET
Mexico/BajaNorte,−08:00,PST
Mexico/BajaSur,−07:00,MST
Mexico/General,−06:00,CST
MST,−07:00,MST
MST7MDT,−07:00,MST
Navajo,−07:00,MST
NZ,+12:00,NZST
NZ-CHAT,+12:45,+1245
Pacific/Apia,+13:00,+13
Pacific/Auckland,+12:00,NZST
Pacific/Bougainville,+11:00,+11
Pacific/Chatham,+12:45,+1245
Pacific/Chuuk,+10:00,+10
Pacific/Easter,−06:00,-6
Pacific/Efate,+11:00,+11
Pacific/Enderbury,+13:00,+13
Pacific/Fakaofo,+13:00,+13
Pacific/Fiji,+12:00,+12
Pacific/Funafuti,+12:00,+12
Pacific/Galapagos,−06:00,-6
Pacific/Gambier,−09:00,-9
Pacific/Guadalcanal,+11:00,+11
Pacific/Guam,+10:00,ChST
Pacific/Honolulu,−10:00,HST
Pacific/Johnston,−10:00,HST
Pacific/Kanton,+13:00,+13
Pacific/Kiritimati,+14:00,+14
Pacific/Kosrae,+11:00,+11
Pacific/Kwajalein,+12:00,+12
Pacific/Majuro,+12:00,+12
Pacific/Marquesas,−09:30,-930
Pacific/Midway,−11:00,SST
Pacific/Nauru,+12:00,+12
Pacific/Niue,−11:00,-11
Pacific/Norfolk,+11:00,+11
Pacific/Noumea,+11:00,+11
Pacific/Pago_Pago,−11:00,SST
Pacific/Palau,+09:00,+09
Pacific/Pitcairn,−08:00,-8
Pacific/Pohnpei,+11:00,+11
Pacific/Ponape,+11:00,+11
Pacific/Port_Moresby,+10:00,+10
Pacific/Rarotonga,−10:00,-10
Pacific/Saipan,+10:00,ChST
Pacific/Samoa,−11:00,SST
Pacific/Tahiti,−10:00,-10
Pacific/Tarawa,+12:00,+12
Pacific/Tongatapu,+13:00,+13
Pacific/Truk,+10:00,+10
Pacific/Wake,+12:00,+12
Pacific/Wallis,+12:00,+12
Pacific/Yap,+10:00,+10
Poland,+01:00,CET
Portugal,+00:00,WET
PRC,+08:00,CST
PST8PDT,−08:00,PST
ROC,+08:00,CST
ROK,+09:00,KST
Singapore,+08:00,+08
Turkey,+03:00,+03
UCT,+00:00,UTC
Universal,+00:00,UTC
US/Alaska,−09:00,AKST
US/Aleutian,−10:00,HST
US/Arizona,−07:00,MST
US/Central,−06:00,CST
US/East-Indiana,−05:00,EST
US/Eastern,−05:00,EST
US/Hawaii,−10:00,HST
US/Indiana-Starke,−06:00,CST
US/Michigan,−05:00,EST
US/Mountain,−07:00,MST
US/Pacific,−08:00,PST
US/Samoa,−11:00,SST
UTC,+00:00,UTC
W-SU,+03:00,MSK
WET,+00:00,WET
Zulu,+00:00,UTC
